Time,Combined Metrics,Main Service 496: Demand (kW) [kW],Main Service 580: Demand (kW) [kW]
2025-08-15 15:00:00 CDT,1325.9978333333333,1089.9029833333334,236.09485
2025-08-15 16:00:00 CDT,1281.4958000000001,1080.864,200.6318
2025-08-15 17:00:00 CDT,1303.0097333333333,1098.9218,204.08793333333332
2025-08-15 18:00:00 CDT,1264.2260333333334,1057.8674666666666,206.35856666666666
2025-08-15 19:00:00 CDT,1274.2487166666665,1068.7952333333333,205.45348333333334
2025-08-15 20:00:00 CDT,1246.1918666666666,1046.0774833333332,200.11438333333334
2025-08-15 21:00:00 CDT,1206.3955016949153,1004.2884,202.10710169491526
2025-08-15 22:00:00 CDT,1210.9951333333333,1002.2792666666667,208.71586666666667
2025-08-15 23:00:00 CDT,1223.9987666666666,1022.7362166666667,201.26255
2025-08-16 00:00:00 CDT,1177.51195,973.0414,204.47055
2025-08-16 01:00:00 CDT,1170.4856666666667,969.2171666666667,201.2685
2025-08-16 02:00:00 CDT,1144.2182333333333,941.9817333333333,202.2365
2025-08-16 03:00:00 CDT,1133.6981833333334,929.0668333333333,204.63135
2025-08-16 04:00:00 CDT,1106.8654333333334,904.6612166666666,202.20421666666667
2025-08-16 05:00:00 CDT,1106.5999,902.0436666666667,204.55623333333332
2025-08-16 06:00:00 CDT,1147.8802666666668,933.7966833333334,214.08358333333334
2025-08-16 07:00:00 CDT,1130.8275166666667,919.4494,211.37811666666667
2025-08-16 08:00:00 CDT,1139.1689833333332,923.7652666666667,215.40371666666667
2025-08-16 09:00:00 CDT,1134.0178,917.8780666666667,216.13973333333334
2025-08-16 10:00:00 CDT,1177.3927166666667,988.6986666666667,188.69405
2025-08-16 11:00:00 CDT,1187.2474333333334,996.1711833333334,191.07625
2025-08-16 12:00:00 CDT,1165.4028666666668,974.2078833333334,191.19498333333334
2025-08-16 13:00:00 CDT,1112.2412166666666,921.18215,191.05906666666667
2025-08-16 14:00:00 CDT,1148.7299833333334,956.5382833333333,192.1917
2025-08-16 15:00:00 CDT,1165.3629166666667,974.7454,190.61751666666666
2025-08-16 16:00:00 CDT,1128.42085,941.3115833333334,187.10926666666666
2025-08-16 17:00:00 CDT,1111.6284333333333,923.1189,188.50953333333334
2025-08-16 18:00:00 CDT,1089.2505333333334,905.1528833333333,184.09765
2025-08-16 19:00:00 CDT,1111.5131666666666,920.4185166666666,191.09465
2025-08-16 20:00:00 CDT,1075.4483,885.3470833333333,190.10121666666666
2025-08-16 21:00:00 CDT,1085.4408,891.4996833333333,193.94111666666666
2025-08-16 22:00:00 CDT,1102.7973333333334,913.6796,189.11773333333332
2025-08-16 23:00:00 CDT,1106.0693666666666,917.1547166666667,188.91465
2025-08-17 00:00:00 CDT,1104.3068833333332,909.2097166666666,195.09716666666668
2025-08-17 01:00:00 CDT,1115.86645,916.3947333333333,199.47171666666668
2025-08-17 02:00:00 CDT,1093.2643833333334,900.1388666666667,193.12551666666667
2025-08-17 03:00:00 CDT,1084.1780833333332,887.6764333333333,196.50165
2025-08-17 04:00:00 CDT,1083.1022333333333,889.4096666666667,193.69256666666666
2025-08-17 05:00:00 CDT,1067.8658166666667,873.7791833333333,194.08663333333334
2025-08-17 06:00:00 CDT,1059.5657666666666,863.5092833333333,196.05648333333335
2025-08-17 07:00:00 CDT,1028.85665,840.1618833333333,188.69476666666668
2025-08-17 08:00:00 CDT,452.0408473214286,335.0346285714286,117.00621875
2025-08-17 20:00:00 CDT,161.7895,,161.7895
2025-08-17 21:00:00 CDT,489.41623157894736,374.58063157894736,114.8356
2025-08-17 22:00:00 CDT,1132.8242,940.19275,192.63145
2025-08-17 23:00:00 CDT,1186.6641166666666,980.1420166666667,206.5221
2025-08-18 00:00:00 CDT,1179.841,972.2260833333333,207.61491666666666
2025-08-18 01:00:00 CDT,1162.8742333333332,963.1645,199.70973333333333
2025-08-18 02:00:00 CDT,1155.3549,956.15825,199.19665
2025-08-18 03:00:00 CDT,1157.1825166666667,932.69305,224.48946666666666
2025-08-18 04:00:00 CDT,1169.1470333333334,938.1564833333333,230.99055
2025-08-18 05:00:00 CDT,1206.0962833333333,974.5037333333333,231.59255
2025-08-18 06:00:00 CDT,1237.6810333333333,1005.6996333333333,231.9814
2025-08-18 07:00:00 CDT,1285.2254166666667,1057.0760666666667,228.14935
2025-08-18 08:00:00 CDT,1293.2144333333333,1056.0081666666667,237.20626666666666
2025-08-18 09:00:00 CDT,1269.25355,1040.0626166666666,229.19093333333333
2025-08-18 10:00:00 CDT,1332.0012,1083.9875833333333,248.01361666666668
2025-08-18 11:00:00 CDT,1362.0266499999998,1111.0700166666666,250.95663333333334
2025-08-18 12:00:00 CDT,1369.8567666666668,1119.3502166666667,250.50655
2025-08-18 13:00:00 CDT,1385.3037333333334,1134.5144166666666,250.78931666666668
2025-08-18 14:00:00 CDT,1350.4343833333335,1084.8580333333334,265.57635
2025-08-18 15:00:00 CDT,1348.3069833333334,1111.6774833333334,236.6295
2025-08-18 16:00:00 CDT,1351.3930666666665,1127.3826833333333,224.01038333333332
2025-08-18 17:00:00 CDT,1334.4420833333334,1118.29575,216.14633333333333
2025-08-18 18:00:00 CDT,1293.0637333333334,1072.23945,220.82428333333334
2025-08-18 19:00:00 CDT,1280.9397333333332,1094.0909,186.84883333333335
2025-08-18 20:00:00 CDT,1269.5688833333334,1075.5915,193.97738333333334
2025-08-18 21:00:00 CDT,1250.8521833333334,1058.0702333333334,192.78195
2025-08-18 22:00:00 CDT,1190.3366166666667,994.6890666666667,195.64755
2025-08-18 23:00:00 CDT,1202.8484166666667,1010.5366666666666,192.31175
2025-08-19 00:00:00 CDT,1205.5920166666667,1011.9929333333333,193.59908333333334
2025-08-19 01:00:00 CDT,1181.44225,989.8878666666667,191.55438333333333
2025-08-19 02:00:00 CDT,1174.8895499999999,988.5963333333333,186.29321666666667
2025-08-19 03:00:00 CDT,1118.8004,930.8325166666667,187.96788333333333
2025-08-19 04:00:00 CDT,1172.4483166666666,954.95405,217.49426666666668
2025-08-19 05:00:00 CDT,1229.18465,995.5532166666667,233.63143333333332
2025-08-19 06:00:00 CDT,1331.7986333333333,1105.1498833333333,226.64875
2025-08-19 07:00:00 CDT,1378.9147666666665,1146.9741666666666,231.9406
2025-08-19 08:00:00 CDT,1329.3007166666666,1089.5764333333334,239.72428333333335
2025-08-19 09:00:00 CDT,1321.47695,1089.3824,232.09455
2025-08-19 10:00:00 CDT,1348.4526833333334,1125.2026,223.25008333333332
2025-08-19 11:00:00 CDT,1345.4933166666665,1104.4902166666666,241.0031
2025-08-19 12:00:00 CDT,1333.1266833333334,1093.6331166666666,239.49356666666668
2025-08-19 13:00:00 CDT,1301.2710333333332,1052.98625,248.28478333333334
2025-08-19 14:00:00 CDT,1260.0907333333332,1024.2099666666666,235.88076666666666
2025-08-19 15:00:00 CDT,1287.4381666666666,1047.3754,240.06276666666668
2025-08-19 16:00:00 CDT,1267.9603333333332,1045.2944166666666,222.66591666666667
2025-08-19 17:00:00 CDT,1214.8958166666666,1007.9704833333333,206.92533333333333
2025-08-19 18:00:00 CDT,1190.8091833333333,964.1564333333333,226.65275
2025-08-19 19:00:00 CDT,1198.82825,994.39705,204.4312
2025-08-19 20:00:00 CDT,1169.3974166666667,976.07355,193.32386666666667
2025-08-19 21:00:00 CDT,1144.1195833333334,951.0907833333333,193.0288
2025-08-19 22:00:00 CDT,1148.67235,952.9750166666666,195.69733333333335
2025-08-19 23:00:00 CDT,1149.9834333333333,954.7025833333333,195.28085
2025-08-20 00:00:00 CDT,1128.8256333333334,934.8739166666667,193.95171666666667
2025-08-20 01:00:00 CDT,1102.93515,913.2448833333333,189.69026666666667
2025-08-20 02:00:00 CDT,1023.0988166666666,838.0285,185.07031666666666
2025-08-20 03:00:00 CDT,1053.546,869.5958666666667,183.95013333333333
2025-08-20 04:00:00 CDT,1072.2764333333332,853.1289333333333,219.1475
2025-08-20 05:00:00 CDT,1275.1425833333333,1050.0562833333333,225.0863
2025-08-20 06:00:00 CDT,1368.4803833333333,1143.1103166666667,225.37006666666667
2025-08-20 07:00:00 CDT,1413.5640833333334,1163.9547666666667,249.60931666666667
2025-08-20 08:00:00 CDT,1419.2721833333335,1178.75005,240.52213333333333
2025-08-20 09:00:00 CDT,1402.72355,1175.7177,227.00585
2025-08-20 10:00:00 CDT,1361.3239666666666,1141.3276333333333,219.99633333333333
2025-08-20 11:00:00 CDT,1429.8174166666668,1179.6701833333334,250.14723333333333
2025-08-20 12:00:00 CDT,1361.6142666666667,1111.0607666666667,250.5535
2025-08-20 13:00:00 CDT,1330.4108666666666,1086.2977166666667,244.11315
2025-08-20 14:00:00 CDT,1172.1220666666666,953.823,218.29906666666668
2025-08-20 15:00:00 CDT,1147.1590333333334,940.8869833333333,206.27205
2025-08-20 16:00:00 CDT,1184.5379166666667,983.6853,200.85261666666668
2025-08-20 17:00:00 CDT,1156.9167166666666,961.824,195.09271666666666
2025-08-20 18:00:00 CDT,1165.70795,951.1592833333333,214.54866666666666
2025-08-20 19:00:00 CDT,1200.40115,1002.69485,197.7063
2025-08-20 20:00:00 CDT,1140.9229,949.1260166666667,191.79688333333334
2025-08-20 21:00:00 CDT,1142.5127166666666,956.8658666666666,185.64685
2025-08-20 22:00:00 CDT,1072.6572666666666,882.8009166666667,189.85635
2025-08-20 23:00:00 CDT,1089.0303666666666,895.2460666666667,193.7843
2025-08-21 00:00:00 CDT,1108.6275166666667,926.7645,181.86301666666665
2025-08-21 01:00:00 CDT,1112.2207833333334,926.15125,186.06953333333334
2025-08-21 02:00:00 CDT,1066.2606333333333,878.2779666666667,187.98266666666666
2025-08-21 03:00:00 CDT,1022.798,835.6892,187.1088
2025-08-21 04:00:00 CDT,1031.49605,831.2651,200.23095
2025-08-21 05:00:00 CDT,1142.0731333333333,928.8262666666667,213.24686666666668
2025-08-21 06:00:00 CDT,1191.7445333333333,979.2548333333333,212.4897
2025-08-21 07:00:00 CDT,1320.7286666666666,1100.0181333333333,220.71053333333333
2025-08-21 08:00:00 CDT,1310.0575999999999,1086.2413833333333,223.81621666666666
2025-08-21 09:00:00 CDT,1304.39995,1067.2073666666668,237.19258333333335
2025-08-21 10:00:00 CDT,1412.07025,1157.4569333333334,254.61331666666666
2025-08-21 11:00:00 CDT,1391.1636166666667,1129.5516166666666,261.612
2025-08-21 12:00:00 CDT,1378.1062499999998,1136.7946166666666,241.31163333333333
2025-08-21 13:00:00 CDT,1362.2181999999998,1103.84145,258.37675
2025-08-21 14:00:00 CDT,1222.6707833333332,978.4252166666666,244.24556666666666
2025-08-21 15:00:00 CDT,1238.3316666666667,1025.2553333333333,213.07633333333334
2025-08-21 16:00:00 CDT,1232.4411166666666,1025.7926166666666,206.6485
2025-08-21 17:00:00 CDT,1255.3655666666666,1049.6329166666667,205.73265
2025-08-21 18:00:00 CDT,1185.9722833333333,969.1139833333333,216.8583
2025-08-21 19:00:00 CDT,1184.1597333333334,991.9623833333334,192.19735
2025-08-21 20:00:00 CDT,1159.6829833333334,964.2506333333333,195.43235
2025-08-21 21:00:00 CDT,1187.8393999999998,992.7592,195.0802
2025-08-21 22:00:00 CDT,1173.8993500000001,976.7228833333334,197.17646666666667
2025-08-21 23:00:00 CDT,1153.95215,961.2117166666667,192.74043333333333
2025-08-22 00:00:00 CDT,1165.67465,968.5942666666666,197.08038333333334
2025-08-22 01:00:00 CDT,1117.0753333333334,924.4021833333334,192.67315
2025-08-22 02:00:00 CDT,1126.3392833333335,934.2840666666667,192.05521666666667
2025-08-22 03:00:00 CDT,1087.1686,895.7107666666667,191.45783333333333
2025-08-22 04:00:00 CDT,1105.5478,897.3404166666667,208.20738333333333
2025-08-22 05:00:00 CDT,1181.6243166666666,950.09035,231.53396666666666
2025-08-22 06:00:00 CDT,1240.8983,999.0889,241.8094
2025-08-22 07:00:00 CDT,1275.3995833333333,1023.3871833333334,252.0124
2025-08-22 08:00:00 CDT,1270.9615833333335,1052.3727333333334,218.58885
2025-08-22 09:00:00 CDT,1275.1198666666667,1033.80785,241.31201666666666
2025-08-22 10:00:00 CDT,1306.1971333333333,1080.3978166666666,225.79931666666667
2025-08-22 11:00:00 CDT,1337.9143833333335,1104.6781833333334,233.2362
2025-08-22 12:00:00 CDT,1255.79585,1002.4383666666666,253.35748333333333
2025-08-22 13:00:00 CDT,1093.29045,848.3783833333333,244.91206666666668
2025-08-22 14:00:00 CDT,1250.8066333333334,1037.9328,212.87383333333332
2025-08-22 15:00:00 CDT,1177.6510166666667,977.0045,200.64651666666666
2025-08-22 16:00:00 CDT,1209.1394,1005.2276,203.9118
2025-08-22 17:00:00 CDT,1252.73285,1045.71315,207.0197
2025-08-22 18:00:00 CDT,1150.6890666666666,940.35665,210.33241666666666
2025-08-22 19:00:00 CDT,1193.1728,992.2266,200.9462
2025-08-22 20:00:00 CDT,1166.46935,970.3670666666667,196.10228333333333
2025-08-22 21:00:00 CDT,1149.0579666666667,956.5914,192.46656666666667
2025-08-22 22:00:00 CDT,1121.7118,927.2825333333333,194.42926666666668
2025-08-22 23:00:00 CDT,1102.7097,911.9983166666667,190.71138333333334
2025-08-23 00:00:00 CDT,1104.68825,913.8610833333333,190.82716666666667
2025-08-23 01:00:00 CDT,1015.0666268361582,831.3776101694915,183.68901666666667
2025-08-23 02:00:00 CDT,994.7905666666666,812.8648833333333,181.92568333333332
2025-08-23 03:00:00 CDT,957.6258833333334,773.1943333333334,184.43155
2025-08-23 04:00:00 CDT,973.1809333333333,789.88045,183.30048333333335
2025-08-23 05:00:00 CDT,992.6866,807.85975,184.82685
2025-08-23 06:00:00 CDT,1009.7451333333333,824.4221666666666,185.32296666666667
2025-08-23 07:00:00 CDT,1038.7068166666668,851.1750166666667,187.5318
2025-08-23 08:00:00 CDT,1056.3766833333334,866.5738833333334,189.8028
2025-08-23 09:00:00 CDT,1038.87625,854.8945666666667,183.98168333333334
2025-08-23 10:00:00 CDT,1079.2539,890.6605833333333,188.59331666666668
2025-08-23 11:00:00 CDT,1063.0190333333333,874.7467166666667,188.27231666666665
2025-08-23 12:00:00 CDT,1087.5862166666666,901.5547833333334,186.03143333333333
2025-08-23 13:00:00 CDT,992.55025,807.9868666666666,184.56338333333332
2025-08-23 14:00:00 CDT,945.5152,765.4510333333334,180.06416666666667
2025-08-23 15:00:00 CDT,966.7846000000001,788.2130166666667,178.57158333333334
2025-08-23 16:00:00 CDT,967.2882999999999,784.5062333333333,182.78206666666668
2025-08-23 17:00:00 CDT,945.27495,770.5725333333334,174.70241666666666
2025-08-23 18:00:00 CDT,984.1767500000001,805.34045,178.8363
2025-08-23 19:00:00 CDT,994.2719999999999,808.95975,185.31225
2025-08-23 20:00:00 CDT,986.2959166666667,807.5825333333333,178.71338333333333
2025-08-23 21:00:00 CDT,955.1249166666666,772.0648333333334,183.06008333333332
2025-08-23 22:00:00 CDT,944.0782833333333,764.8586666666666,179.21961666666667
2025-08-23 23:00:00 CDT,945.6933333333333,765.3629,180.33043333333333
2025-08-24 00:00:00 CDT,952.9695666666667,759.2239666666667,193.7456
2025-08-24 01:00:00 CDT,944.6085,752.4245666666667,192.18393333333333
2025-08-24 02:00:00 CDT,906.2008500000001,720.71185,185.489
2025-08-24 03:00:00 CDT,915.7193333333333,738.4153333333334,177.304
2025-08-24 04:00:00 CDT,912.1679833333333,737.0634,175.10458333333332
2025-08-24 05:00:00 CDT,893.0545500000001,720.9178,172.13675
2025-08-24 06:00:00 CDT,899.8315666666666,729.6553666666666,170.1762
2025-08-24 07:00:00 CDT,892.4805000000001,718.9193333333334,173.56116666666668
2025-08-24 08:00:00 CDT,878.3003833333333,707.25135,171.04903333333334
2025-08-24 09:00:00 CDT,899.6186666666666,723.3635666666667,176.2551
2025-08-24 10:00:00 CDT,884.1541333333333,709.3318666666667,174.82226666666668
2025-08-24 11:00:00 CDT,883.0353833333334,706.5425666666666,176.49281666666667
2025-08-24 12:00:00 CDT,886.9187166666667,711.1278,175.79091666666667
2025-08-24 13:00:00 CDT,869.6432333333335,697.5503666666667,172.09286666666668
2025-08-24 14:00:00 CDT,884.9942,709.1420166666667,175.85218333333333
2025-08-24 15:00:00 CDT,878.9744333333333,699.4844333333333,179.49
2025-08-24 16:00:00 CDT,924.0150166666666,728.5915166666666,195.4235
2025-08-24 17:00:00 CDT,904.7275333333332,708.1096666666666,196.61786666666666
2025-08-24 18:00:00 CDT,888.4527499999999,695.4847,192.96805
2025-08-24 19:00:00 CDT,820.74585,645.1957666666667,175.55008333333333
2025-08-24 20:00:00 CDT,843.2402,670.2361833333333,173.00401666666667
2025-08-24 21:00:00 CDT,845.6881,674.8595666666666,170.82853333333333
2025-08-24 22:00:00 CDT,830.4510333333333,661.73435,168.71668333333332
2025-08-24 23:00:00 CDT,830.3605333333334,660.9535666666667,169.40696666666668
2025-08-25 00:00:00 CDT,822.76765,656.1649666666667,166.60268333333335
2025-08-25 01:00:00 CDT,873.6086666666666,707.8820333333333,165.72663333333333
2025-08-25 02:00:00 CDT,895.0773166666668,722.00205,173.07526666666666
2025-08-25 03:00:00 CDT,841.5930833333334,663.6155333333334,177.97755
2025-08-25 04:00:00 CDT,874.9707833333333,698.2948,176.67598333333333
2025-08-25 05:00:00 CDT,957.4412833333333,764.7107666666667,192.73051666666666
2025-08-25 06:00:00 CDT,984.7470166666666,797.1588833333333,187.58813333333333
2025-08-25 07:00:00 CDT,1074.7536499999999,878.26595,196.4877
2025-08-25 08:00:00 CDT,1149.7933,931.1005666666666,218.69273333333334
2025-08-25 09:00:00 CDT,1156.2798833333334,944.7962333333334,211.48365
2025-08-25 10:00:00 CDT,1196.7457166666668,988.0813,208.66441666666665
2025-08-25 11:00:00 CDT,1251.7667333333334,1013.9644333333333,237.8023
2025-08-25 12:00:00 CDT,1194.8967833333334,953.7221166666667,241.17466666666667
2025-08-25 13:00:00 CDT,1151.3226333333334,907.4171333333334,243.9055
2025-08-25 14:00:00 CDT,1099.8656629943503,855.4638833333333,244.40177966101695
2025-08-25 15:00:00 CDT,1076.2895166666667,850.9461666666666,225.34335
2025-08-25 16:00:00 CDT,1053.6434333333332,865.5729166666666,188.07051666666666
2025-08-25 17:00:00 CDT,1070.2079333333334,880.7725666666666,189.43536666666665
2025-08-25 18:00:00 CDT,1052.4059666666667,844.9228833333333,207.48308333333333
2025-08-25 19:00:00 CDT,1098.96145,898.6864666666667,200.27498333333332
2025-08-25 20:00:00 CDT,1045.5487333333333,858.1498666666666,187.39886666666666
2025-08-25 21:00:00 CDT,1001.4345666666667,824.38495,177.04961666666668
2025-08-25 22:00:00 CDT,928.3995500000001,751.4986333333334,176.90091666666666
2025-08-25 23:00:00 CDT,986.7739333333334,812.0899166666667,174.68401666666668
2025-08-26 00:00:00 CDT,956.3689,788.4671166666667,167.90178333333333
2025-08-26 01:00:00 CDT,982.2277333333333,813.8719,168.35583333333332
2025-08-26 02:00:00 CDT,901.8127333333334,738.4725166666667,163.34021666666666
2025-08-26 03:00:00 CDT,798.8962805084745,636.5258305084745,162.37045
2025-08-26 04:00:00 CDT,939.2351333333334,755.93955,183.29558333333333
2025-08-26 05:00:00 CDT,1038.0568333333333,847.1643,190.89253333333335
2025-08-26 06:00:00 CDT,1109.3470166666666,913.7474833333333,195.59953333333334
2025-08-26 07:00:00 CDT,1158.0982,958.6580833333334,199.44011666666665
2025-08-26 08:00:00 CDT,1218.8227833333333,1005.2148833333333,213.6079
2025-08-26 09:00:00 CDT,1198.6716000000001,977.8984833333334,220.77311666666668
2025-08-26 10:00:00 CDT,1206.81495,973.03955,233.7754
2025-08-26 11:00:00 CDT,1246.79165,1014.19945,232.5922
2025-08-26 12:00:00 CDT,1259.8759666666667,1013.2927666666667,246.5832
2025-08-26 13:00:00 CDT,1247.0210833333333,983.6940333333333,263.32705
2025-08-26 14:00:00 CDT,1115.89125,888.13235,227.7589
2025-08-26 15:00:00 CDT,1081.8770666666667,869.7261833333333,212.15088333333333
2025-08-26 16:00:00 CDT,1146.5011166666668,942.1722666666667,204.32885
2025-08-26 17:00:00 CDT,1134.3012833333335,930.5105166666667,203.79076666666666
2025-08-26 18:00:00 CDT,1088.4756166666666,876.27495,212.20066666666668
2025-08-26 19:00:00 CDT,1152.3024333333333,939.8916333333333,212.4108
2025-08-26 20:00:00 CDT,1166.0471499999999,964.9957666666667,201.05138333333332
2025-08-26 21:00:00 CDT,1130.0913166666667,944.5506333333333,185.54068333333333
2025-08-26 22:00:00 CDT,1068.5099833333334,886.7581833333334,181.7518
2025-08-26 23:00:00 CDT,1024.0329333333334,840.29025,183.74268333333333
2025-08-27 00:00:00 CDT,1068.1157,885.6512333333334,182.46446666666668
2025-08-27 01:00:00 CDT,992.0796694915254,820.3961694915254,171.6835
2025-08-27 02:00:00 CDT,945.3812666666668,781.6272333333334,163.75403333333333
2025-08-27 03:00:00 CDT,943.0676666666667,772.7195833333334,170.34808333333334
2025-08-27 04:00:00 CDT,955.5823,772.2751333333333,183.30716666666666
2025-08-27 05:00:00 CDT,1085.1672166666667,892.65965,192.50756666666666
2025-08-27 06:00:00 CDT,1163.2969333333333,965.3782833333333,197.91865
2025-08-27 07:00:00 CDT,1245.9859000000001,1030.0157166666668,215.97018333333332
2025-08-27 08:00:00 CDT,1331.89365,1098.7885333333334,233.10511666666667
2025-08-27 09:00:00 CDT,1328.5067666666669,1087.8058833333334,240.70088333333334
