Time,Combined Metrics,Main Service MDP 1: Demand (kW) [kW],Main Service MDP 2: Demand (kW) [kW]
2025-07-07 17:00:00 CDT,2007.8684833333334,1045.0222333333334,962.84625
2025-07-07 18:00:00 CDT,1910.0492666666667,1005.161,904.8882666666667
2025-07-07 19:00:00 CDT,1867.6779000000001,1027.7944833333333,839.8834166666667
2025-07-07 20:00:00 CDT,1894.1674666666668,1028.2717666666667,865.8957
2025-07-07 21:00:00 CDT,1943.51975,1076.43435,867.0854
2025-07-07 22:00:00 CDT,2109.4750833333333,1043.9021,1065.5729833333332
2025-07-07 23:00:00 CDT,1988.9094833333334,979.15635,1009.7531333333334
2025-07-08 00:00:00 CDT,2003.2726833333334,986.11685,1017.1558333333334
2025-07-08 01:00:00 CDT,1984.5565666666666,991.3399333333333,993.2166333333333
2025-07-08 02:00:00 CDT,1947.3421666666668,942.1559333333333,1005.1862333333333
2025-07-08 03:00:00 CDT,1949.3109166666668,952.6530666666666,996.65785
2025-07-08 04:00:00 CDT,1931.4637333333335,933.5829333333334,997.8808
2025-07-08 05:00:00 CDT,1970.782,949.8086,1020.9734
2025-07-08 06:00:00 CDT,1977.8162333333335,975.7972166666667,1002.0190166666666
2025-07-08 07:00:00 CDT,1939.8709833333332,914.79635,1025.0746333333334
2025-07-08 08:00:00 CDT,2044.3006999999998,1030.2573166666666,1014.0433833333333
2025-07-08 09:00:00 CDT,1912.43235,1010.9236166666667,901.5087333333333
2025-07-08 10:00:00 CDT,1960.0134333333333,1067.7791166666666,892.2343166666667
2025-07-08 11:00:00 CDT,1923.0328166666668,1065.2842333333333,857.7485833333334
2025-07-08 12:00:00 CDT,1964.4094833333334,1072.5225833333334,891.8869
2025-07-08 13:00:00 CDT,2101.037766666667,1091.2769333333333,1009.7608333333334
2025-07-08 14:00:00 CDT,1674.0057833333335,1090.4483666666667,583.5574166666667
2025-07-08 15:00:00 CDT,1626.0654833333333,1062.98265,563.0828333333334
2025-07-08 16:00:00 CDT,1181.5843333333332,623.88415,557.7001833333334
2025-07-08 17:00:00 CDT,1135.1651499999998,580.83255,554.3326
2025-07-08 18:00:00 CDT,1622.4154166666667,779.8333666666666,842.58205
2025-07-08 19:00:00 CDT,1859.8115166666666,923.5129833333333,936.2985333333334
2025-07-08 20:00:00 CDT,1885.8546833333335,912.8065666666666,973.0481166666667
2025-07-08 21:00:00 CDT,1867.52875,900.4383166666667,967.0904333333333
2025-07-08 22:00:00 CDT,1951.6758333333332,967.46655,984.2092833333334
2025-07-08 23:00:00 CDT,2073.68635,1100.8890833333332,972.7972666666667
2025-07-09 00:00:00 CDT,2091.7282833333334,1099.98555,991.7427333333334
2025-07-09 01:00:00 CDT,1945.7545333333333,1008.1989666666667,937.5555666666667
2025-07-09 02:00:00 CDT,1954.1970166666665,999.32265,954.8743666666667
2025-07-09 03:00:00 CDT,1932.2014166666668,992.6622666666667,939.53915
2025-07-09 04:00:00 CDT,1932.97045,979.3661833333333,953.6042666666667
2025-07-09 05:00:00 CDT,1943.4991333333332,1022.4517333333333,921.0474
2025-07-09 06:00:00 CDT,1961.7100333333333,1060.94965,900.7603833333334
2025-07-09 07:00:00 CDT,1948.0979166666666,1021.1536333333333,926.9442833333334
2025-07-09 08:00:00 CDT,2041.5948166666667,1109.3639,932.2309166666666
2025-07-09 09:00:00 CDT,2133.161383333333,1108.7933666666668,1024.3680166666666
2025-07-09 10:00:00 CDT,2257.845016666667,1100.7929166666668,1157.0521
2025-07-09 11:00:00 CDT,2222.3742333333334,1120.4990833333334,1101.87515
2025-07-09 12:00:00 CDT,2198.763516666667,1108.0931833333334,1090.6703333333332
2025-07-09 13:00:00 CDT,2195.275216666667,1085.9858,1109.2894166666667
2025-07-09 14:00:00 CDT,2204.2706166666667,1112.1304,1092.1402166666667
2025-07-09 15:00:00 CDT,2237.4157833333334,1132.1386833333333,1105.2771
2025-07-09 16:00:00 CDT,2205.2384833333335,1112.2783,1092.9601833333334
2025-07-09 17:00:00 CDT,2216.4491,1116.14045,1100.30865
2025-07-09 18:00:00 CDT,2252.2526166666667,1127.3196666666668,1124.93295
2025-07-09 19:00:00 CDT,2151.4461666666666,1097.0089666666668,1054.4372
2025-07-09 20:00:00 CDT,2181.22705,1108.5729166666667,1072.6541333333332
2025-07-09 21:00:00 CDT,2172.1458833333336,1112.0235833333334,1060.1223
2025-07-09 22:00:00 CDT,2244.27125,1096.0539333333334,1148.2173166666666
2025-07-09 23:00:00 CDT,2133.31815,1032.88375,1100.4344
2025-07-10 00:00:00 CDT,2079.490783333333,984.33,1095.1607833333333
2025-07-10 01:00:00 CDT,2027.5834666666665,972.3036166666667,1055.27985
2025-07-10 02:00:00 CDT,2009.11935,958.4434833333333,1050.6758666666667
2025-07-10 03:00:00 CDT,2018.0783833333335,978.8285,1039.2498833333334
2025-07-10 04:00:00 CDT,2075.0203833333335,1013.3853666666666,1061.6350166666666
2025-07-10 05:00:00 CDT,2089.5664500000003,1011.24255,1078.3239
2025-07-10 06:00:00 CDT,2055.861483333333,1024.29575,1031.5657333333334
2025-07-10 07:00:00 CDT,1971.7927333333332,1005.0633833333334,966.72935
2025-07-10 08:00:00 CDT,1910.1595666666667,1014.86265,895.2969166666667
2025-07-10 09:00:00 CDT,1954.4217166666667,1018.1224166666667,936.2993
2025-07-10 10:00:00 CDT,1941.7438166666666,1035.6786666666667,906.06515
2025-07-10 11:00:00 CDT,1994.2772,1038.00845,956.26875
2025-07-10 12:00:00 CDT,1964.9207833333332,1072.9967,891.9240833333333
2025-07-10 13:00:00 CDT,2102.5040166666668,1110.4244833333332,992.0795333333333
2025-07-10 14:00:00 CDT,2254.0515,1089.55665,1164.49485
2025-07-10 15:00:00 CDT,2268.5777,1119.8151,1148.7626
2025-07-10 16:00:00 CDT,2256.92065,1101.5456333333334,1155.3750166666666
2025-07-10 17:00:00 CDT,2175.4635333333335,1079.0828833333333,1096.38065
2025-07-10 18:00:00 CDT,2227.924266666667,1092.7967833333332,1135.1274833333334
2025-07-10 19:00:00 CDT,2202.625883333333,1073.8713333333333,1128.75455
2025-07-10 20:00:00 CDT,2252.09,1101.2620833333333,1150.8279166666666
2025-07-10 21:00:00 CDT,2159.4256166666664,1071.1359666666667,1088.28965
2025-07-10 22:00:00 CDT,2229.243316666667,1080.6642,1148.5791166666668
2025-07-10 23:00:00 CDT,2249.5711833333335,1104.7972833333333,1144.7739
2025-07-11 00:00:00 CDT,2236.7408166666664,1080.8933666666667,1155.84745
2025-07-11 01:00:00 CDT,2200.3815833333333,1069.3450333333333,1131.03655
2025-07-11 02:00:00 CDT,2221.445333333333,1036.9697166666667,1184.4756166666666
2025-07-11 03:00:00 CDT,2192.7184666666662,1026.3435166666666,1166.37495
2025-07-11 04:00:00 CDT,2166.1061833333333,1011.2577833333334,1154.8484
2025-07-11 05:00:00 CDT,2171.0792,1059.6193333333333,1111.4598666666666
2025-07-11 06:00:00 CDT,2144.5300166666666,1028.9136333333333,1115.6163833333333
2025-07-11 07:00:00 CDT,2144.4253166666667,1013.13195,1131.2933666666668
2025-07-11 08:00:00 CDT,2218.145466666667,1083.0323666666666,1135.1131
2025-07-11 09:00:00 CDT,2227.3911333333335,1104.4980166666667,1122.8931166666666
2025-07-11 10:00:00 CDT,2235.618,1130.7004833333333,1104.9175166666666
